2.0634309368758734E-004,-3.2815473852496991E-005,0.0000000000000000;-0.20719210976314753,-0.31168123444183327,0.0000000000000000;0.43928433690697999,-0.57384337784311235,0.0000000000000000;-0.29641815433862967,-0.95509347892814667,0.0000000000000000;0.39447869975183658,1.4614259972223373,0.0000000000000000;4.9851635954196416,-1.4889498752445438,0.0000000000000000;-1.1141916870553452,-9.4900240504939894,0.0000000000000000;0.78727984140687257,19.202340586237149,0.0000000000000000;-30.103456796113484,0.62898957074112849,0.0000000000000000
2.5108759189838359E-004,-4.3316132651224596E-005,0.0000000000000000;-0.31701987771899554,0.19420315980581254,0.0000000000000000;6.7895714621237252E-002,-0.71985403004410908,0.0000000000000000;-0.60128850105898790,-0.79896198402293050,0.0000000000000000;0.65623131032881277,1.3625680793247377,0.0000000000000000;4.9398898665843358,-1.6329980564768123,0.0000000000000000;-1.2250241679407903,-9.4764170371810721,0.0000000000000000;0.86595750145494343,19.198968740652518,0.0000000000000000;-30.102082783468184,0.69187794015999760,0.0000000000000000
2.9950460808540150E-004,-5.6230598082589220E-005,0.0000000000000000;0.17378465012428435,0.34078477029503107,0.0000000000000000;-0.32417241863402185,-0.64588535797520696,0.0000000000000000;-0.83556727294767419,-0.54908261425048899,0.0000000000000000;0.89556663052842722,1.2171450974711686,0.0000000000000000;4.8904582386759152,-1.7756720431843167,0.0000000000000000;-1.3356894815768916,-9.4615216226024419,0.0000000000000000;0.94462074678132091,19.195276011481216,0.0000000000000000;-30.100577936771771,0.75476328919710178,0.0000000000000000
3.5132273140179275E-004,-7.1489123011427602E-005,0.0000000000000000;0.36679594523714376,-0.12314331774193628,0.0000000000000000;-0.61694639638576720,-0.37439066903084312,0.0000000000000000;-0.97175468723717096,-0.23477767870164387,0.0000000000000000;1.1042298051701587,1.0300192011501867,0.0000000000000000;4.8369103291450095,-1.9168517505632943,0.0000000000000000;-1.4461725645042758,-9.4453398537500330,0.0000000000000000;1.0232682621577565,19.191262463745101,0.0000000000000000;-30.098942262729825,0.81764534403398648,0.0000000000000000
4.0628534287231907E-004,-8.9032310628909934E-005,0.0000000000000000;-7.5023678459094759E-002,-0.36962886141556417,0.0000000000000000;-0.72023005655022576,1.1902494851623965E-002,0.0000000000000000;-0.99385839271192866,0.10706837821608582,0.0000000000000000;1.2749894774387356,0.80752109162647168,0.0000000000000000;4.7792912213172345,-2.0564183512457617,0.0000000000000000;-1.5564583778195995,-9.4278739548505666,0.0000000000000000;1.1018987327224792,19.186928167870306,0.0000000000000000;-30.097175768642217,0.88052383086147024,0.0000000000000000
4.6412348656333177E-004,-1.0864481063227638E-004,0.0000000000000000;-0.36607946408697750,5.6980212072117453E-002,0.0000000000000000;-0.60132212491311354,0.39439308755455560,0.0000000000000000;-0.89927147192861467,0.43633585241974882,0.0000000000000000;1.4019038154297712,0.55723818052851548,0.0000000000000000;4.7176494269543827,-2.1942543754984616,0.0000000000000000;-1.6665319092773543,-9.4091263269740555,0.0000000000000000;1.1805108440027314,19.182273199684992,0.0000000000000000;-30.095278462403449,0.94339847588053172,0.0000000000000000
5.2480588584191213E-004,-1.2990628379955964E-004,0.0000000000000000;3.6772221613027428E-002,0.37766829910430388,0.0000000000000000;-0.29605587920464943,0.65460934182973496,0.0000000000000000;-0.69908209125782006,0.71437772621339202,0.0000000000000000;1.4805426036050813,0.28775236112105179,0.0000000000000000;4.6520368458677108,-2.3302438100576564,0.0000000000000000;-1.7763781754266459,-9.3890995476512398,0.0000000000000000;1.2591032819393724,19.177297640418562,0.0000000000000000;-30.093250352502569,1.0062690053027861,0.0000000000000000
5.8869433070194506E-004,-1.5252722387113440E-004,0.0000000000000000;0.38727162626118777,1.5283973351200623E-002,0.0000000000000000;0.10132649429125459,0.71136229656091832,0.0000000000000000;-0.41677525084627881,0.90855496308142925,0.0000000000000000;1.5081549931119662,8.3368340840527383E-003,0.0000000000000000;4.5825087225351844,-2.4642721956160560,0.0000000000000000;-1.8859822237479800,-9.3677963705192759,0.0000000000000000;1.3376747329122300,19.172001576704101,0.0000000000000000;-30.091091448022297,1.0691351453509490,0.0000000000000000
6.5623588015250461E-004,-1.7660579599870486E-004,0.0000000000000000;6.8152610094987492E-002,-0.37433594659354547,0.0000000000000000;0.46740278263559104,0.54687882679218380,0.0000000000000000;-8.5476906452190332E-002,0.99606958133787660,0.0000000000000000;1.4837747240661547,-0.27137616272240994,0.0000000000000000;4.5091235996058874,-2.5962267228616009,0.0000000000000000;-1.9953291347617814,-9.3452197249793905,0.0000000000000000;1.4162238837636942,19.166385100583792,0.0000000000000000;-30.088801758637739,1.1319966222597586,0.0000000000000000
7.2767438925234432E-004,-2.0246022043414363E-004,0.0000000000000000;-0.35961238368501719,-8.8894564513712332E-002,0.0000000000000000;0.68869498951637775,0.21258936387419630,0.0000000000000000;0.25593437806459141,0.96664371600457577,0.0000000000000000;1.4082575016313246,-0.54174303098386434,0.0000000000000000;4.4319432684144484,-2.7259963272056402,0.0000000000000000;-2.1044040240995554,-9.3213727158123412,0.0000000000000000;1.4947494218195885,19.160448309512841,0.0000000000000000;-30.086381294615464,1.1948531622773122,0.0000000000000000
