1.6055336844198899E-008,1.5917888053927317E-007,0.0000000000000000;0.32126966050804823,0.94698774698759047,0.0000000000000000
1.8792961326770920E-008,1.7621417392408148E-007,0.0000000000000000;0.33752289813370773,0.94131731046629330,0.0000000000000000
2.1823414880523259E-008,1.9408880669865482E-007,0.0000000000000000;0.35367612038744850,0.93536794119863143,0.0000000000000000
2.5161101984076220E-008,2.1279761396297603E-007,0.0000000000000000;0.36972454071340660,0.92914140210257290,0.0000000000000000
2.8820336078162097E-008,2.3233518363373994E-007,0.0000000000000000;0.38566340361011547,0.92263953822728384,0.0000000000000000
3.2815335324314573E-008,2.5269585804797842E-007,0.0000000000000000;0.40148798603964009,0.91586427620643118,0.0000000000000000
3.7160218391787777E-008,2.7387373563945286E-007,0.0000000000000000;0.41719359882709284,0.90881762368731167,0.0000000000000000
4.1869000273953374E-008,2.9586267268731732E-007,0.0000000000000000;0.43277558805011618,0.90150166873597493,0.0000000000000000
4.6955588135415145E-008,3.1865628513653435E-007,0.0000000000000000;0.44822933641792062,0.89391857921851858,0.0000000000000000
5.2433777191071637E-008,3.4224795048950416E-007,0.0000000000000000;0.46355026463946902,0.88607060215873723,0.0000000000000000
5.8317246618347833E-008,3.6663080976834683E-007,0.0000000000000000;0.47873383278040244,0.87796006307231655,0.0000000000000000
6.4619555503807050E-008,3.9179776954725608E-007,0.0000000000000000;0.49377554160830495,0.86958936527776909,0.0000000000000000
7.1354138825344102E-008,4.1774150405432285E-007,0.0000000000000000;0.50867093392590912,0.86096098918431652,0.0000000000000000
7.8534303471150133E-008,4.4445445734220561E-007,0.0000000000000000;0.52341559589184705,0.85207749155692880,0.0000000000000000
8.6173224296628773E-008,4.7192884552700464E-007,0.0000000000000000;0.53800515832855522,0.84294150475873786,0.0000000000000000
9.4283940220431900E-008,5.0015665909467701E-007,0.0000000000000000;0.55243529801694657,0.83355573597105137,0.0000000000000000
1.0287935036077174E-007,5.2912966527430874E-007,0.0000000000000000;0.56670173897746545,0.82392296639119600,0.0000000000000000
1.1197221021315429E-007,5.5883941047754126E-007,0.0000000000000000;0.58080025373714583,0.81404605040842892,0.0000000000000000
1.2157512787066637E-007,5.8927722280342978E-007,0.0000000000000000;0.59472666458229773,0.80392791475816183,0.0000000000000000
1.3170056028793645E-007,6.2043421460799076E-007,0.0000000000000000;0.60847684479645037,0.79357155765474696,0.0000000000000000
1.4236080958987621E-007,6.5230128513767757E-007,0.0000000000000000;0.62204671988318561,0.78298004790308307,0.0000000000000000
1.5356801942629655E-007,6.8486912322600503E-007,0.0000000000000000;0.63543226877349868,0.77215652398930423,0.0000000000000000
1.6533417137347830E-007,7.1812821005252208E-007,0.0000000000000000;0.64862952501732962,0.76110419315082078,0.0000000000000000
1.7767108138376379E-007,7.5206882196331717E-007,0.0000000000000000;0.66163457795891045,0.74982633042598767,0.0000000000000000
1.9059039628422142E-007,7.8668103335221953E-007,0.0000000000000000;0.67444357389558207,0.73832627768368231,0.0000000000000000
2.0410359032542062E-007,8.2195471960184305E-007,0.0000000000000000;0.68705271721973593,0.72660744263307908,0.0000000000000000
2.1822196178133993E-007,8.5787956008360188E-007,0.0000000000000000;0.69945827154354223,0.71467329781391375,0.0000000000000000
2.3295662960141578E-007,8.9444504121580830E-007,0.0000000000000000;0.71165656080613227,0.70252737956753741,0.0000000000000000
2.4831853011572387E-007,9.3164045957894715E-007,0.0000000000000000;0.72364397036290606,0.69017328698906422,0.0000000000000000
2.6431841379426961E-007,9.6945492508720423E-007,0.0000000000000000;0.73541694805664259,0.67761468086092369,0.0000000000000000
2.8096684206134788E-007,1.0078773642153083E-006,0.0000000000000000;0.74697200527009544,0.66485528256813353,0.0000000000000000
2.9827418416591620E-007,1.0468965232797319E-006,0.0000000000000000;0.75830571795976198,0.65189887299561411,0.0000000000000000
3.1625061410890842E-007,1.0865009717732768E-006,0.0000000000000000;0.76941472767051911,0.63874929140787173,0.0000000000000000
3.3490610762839997E-007,1.1266791057520590E-006,0.0000000000000000;0.78029574253082601,0.62541043431138188,0.0000000000000000
3.5425043924351746E-007,1.1674191512738872E-006,0.0000000000000000;0.79094553822819813,0.61188625430001042,0.0000000000000000
3.7429317935796919E-007,1.2087091678870174E-006,0.0000000000000000;0.80136095896466331,0.59818075888381372,0.0000000000000000
3.9504369142405457E-007,1.2505370521682503E-006,0.0000000000000000;0.81153891839191761,0.58429800930156617,0.0000000000000000
4.1651112916799293E-007,1.2928905413093214E-006,0.0000000000000000;0.82147640052590298,0.57024211931736490,0.0000000000000000
4.3870443387739412E-007,1.3357572167505246E-006,0.0000000000000000;0.83117046064053623,0.55601725400167024,0.0000000000000000
4.6163233175167448E-007,1.3791245078604886E-006,0.0000000000000000;0.84061822614032411,0.54162762849714197,0.0000000000000000
4.8530333131620370E-007,1.4229796956610198E-006,0.0000000000000000;0.84981689741160604,0.52707750676963705,0.0000000000000000
5.0972572090094891E-007,1.4673099165959047E-006,0.0000000000000000;0.85876374865217242,0.51237120034473915,0.0000000000000000
5.3490756618436241E-007,1.5121021663425582E-006,0.0000000000000000;0.86745612867901223,0.49751306703019427,0.0000000000000000
5.6085670780324259E-007,1.5573433036653863E-006,0.0000000000000000;0.87589146171395094,0.48250750962463079,0.0000000000000000
